Date,LSI,IRI,regime_0,regime_1,regime_2,regime_3,regime,regime_name
2022-01-07,0.005747268784171242,-0.865344014718307,0.9328363354850001,0.0012015990839608249,0.06594438212097999,1.768331005914845e-05,0,Deep Calm
2022-01-14,-0.8553961672080211,-0.9046594818116331,0.8226441634805234,0.07264386858191808,0.1046675859944091,4.43819431494605e-05,0,Deep Calm
2022-01-21,1.8042717114803137,-0.9062022934640458,0.005393074738079522,1.8511426459393208e-17,0.9944877511843712,0.0001191740775493736,2,Elevated Stress
2022-01-28,0.17275692065812462,-1.392493309794562,0.11867527335776491,3.4082544182400407e-06,0.8809426629266075,0.00037865546120937076,2,Elevated Stress
2022-02-04,0.6312128665132233,-0.7550096596960959,0.10840126504582462,8.546320915531672e-08,0.8913197806830107,0.0002788688079555475,2,Elevated Stress
2022-02-11,0.9037182230897114,-0.6542089578040469,0.11503727445748774,4.865544486822748e-09,0.8847018539731275,0.00026086670384032826,2,Elevated Stress
2022-02-18,-0.06151929789663116,-0.4993600801993007,0.27852914237211107,0.010759728454229974,0.7104931306800267,0.00021799849363212038,2,Elevated Stress
2022-02-25,-0.5097185890272831,-0.07631239216902998,0.21635912948099492,0.13741476204463962,0.6459702092965762,0.000255899177789246,2,Elevated Stress
2022-03-04,-0.13957123424078308,1.2124070310102344,0.05850057567831177,0.11725272915863981,0.8238644993980297,0.00038219576501870414,2,Elevated Stress
2022-03-11,0.3524691837193358,0.23085508766611687,0.0439801231700826,0.0009821356278225145,0.9547546782726942,0.0002830629294006281,2,Elevated Stress
2022-03-18,1.9045126748200019,-0.7163364367036564,0.0002455238480423328,5.094027404011515e-19,0.9986728041873127,0.0010816719646448247,2,Elevated Stress
2022-03-25,0.8592402217409402,-0.9177834146037799,0.16198083752646764,6.750534007648155e-09,0.8379955989824205,2.355674057795362e-05,2,Elevated Stress
2022-04-01,-0.2691380541817565,-1.4555968753493878,0.946047473243691,0.0005764385834556967,0.05337394548243081,2.1426904224938922e-06,0,Deep Calm
2022-04-08,-0.18249850839926482,-1.7022006414657174,0.9956892376751536,1.992381394433955e-05,0.0042906136058497,2.2490505235212824e-07,0,Deep Calm
2022-04-15,-0.12020875831378346,-1.5700957391907102,0.99888412342358,1.3955848817706326e-05,0.001101901948796369,1.8778805937624682e-08,0,Deep Calm
2022-04-22,-0.1203824309511626,-1.6809981800039537,0.9991736904137184,8.618767595576537e-06,0.0008176839177733397,6.900912771429535e-09,0,Deep Calm
2022-04-29,-0.01767391752684751,-2.4436183981648805,0.9989126960312578,9.989241158477402e-08,0.0010871742661430696,2.9810187607149594e-08,0,Deep Calm
2022-05-06,-0.9744406373959118,-2.5252418483396917,0.9986239328280576,0.00031725739000000293,0.0010581138750236654,6.959069186658788e-07,0,Deep Calm
2022-05-13,0.11180215245424195,-2.5946545192232944,0.9106515358228039,2.651763908639041e-08,0.08934624449848605,2.193161071053216e-06,0,Deep Calm
2022-05-20,0.49292835362356135,-1.46715942535453,0.49286579374528605,7.271207446227551e-08,0.5070444632377135,8.967030492593736e-05,0,Deep Calm
2022-05-27,2.2066865928869803,-0.5324069865273612,1.260068850362973e-05,3.9751960198669604e-22,0.9958162424287424,0.004171156882753908,2,Elevated Stress
2022-06-03,0.6084864196171542,0.044783547601871705,0.002065464917039193,7.695092484351831e-07,0.9799613862053573,0.017972379368355076,2,Elevated Stress
2022-06-10,2.403988255238564,-0.24030067893373147,7.273644533324542e-09,2.4989188674801353e-25,0.6581017346714069,0.34189825805494845,2,Elevated Stress
2022-06-17,2.973725189818524,-1.6423014117808636,2.724590647112144e-13,3.2915438971397235e-40,0.14397635963667563,0.8560236403630518,3,Crisis
2022-06-24,3.8219189550859807,-2.2397115362457507,3.2699318871673906e-19,4.068589274375551e-59,0.04487161667986009,0.9551283833201399,3,Crisis
2022-07-01,2.424282730431471,-1.3027739634971756,3.0759290864416966e-10,4.700086029647412e-29,0.5271618026394521,0.4728381970529548,2,Elevated Stress
2022-07-08,1.395327658102114,-1.6453738731566547,0.0002267602413287429,9.021407836603368e-17,0.9371265994664256,0.06264664029224563,2,Elevated Stress
2022-07-15,0.3460993181907427,-0.5578627682537742,0.0795695333893006,1.2186469501277404e-05,0.9176257164274731,0.0027925637137249815,2,Elevated Stress
2022-07-22,0.27039201354586756,0.011026643280843669,0.1165748431724913,0.00028408615237624754,0.8827993074058474,0.00034176326928495276,2,Elevated Stress
2022-07-29,0.21179520846959132,0.1781580327737478,0.13024947180255161,0.01089151738755785,0.8585863543474213,0.0002726564624693935,2,Elevated Stress
2022-08-05,-0.6515831080226888,1.0926758382757131,0.021574210290510147,0.32665238475666775,0.6512833803029638,0.0004900246498583163,2,Elevated Stress
2022-08-12,-0.16351131168641217,1.0475766726073352,0.05226901187688514,0.2848769135165833,0.6625291957531788,0.0003248788533527609,2,Elevated Stress
2022-08-19,-0.3135412387457936,-0.6719107627070996,0.22272736934196294,0.07026693350951177,0.7067429482417235,0.000262748906801782,2,Elevated Stress
2022-08-26,1.3052288479701777,-1.3123392040622142,0.002931009794917004,4.1197507350681045e-14,0.9963674131362171,0.0007015770688246436,2,Elevated Stress
2022-09-02,1.1998193248900382,-2.1797864063958365,0.00011477792038227143,6.086196245997868e-17,0.997186008815604,0.002699213264013591,2,Elevated Stress
2022-09-09,1.2159421050140709,-2.434347286573805,5.246532240330444e-05,5.197377534448373e-18,0.9937841750253711,0.006163359652225533,2,Elevated Stress
2022-09-16,1.9613810841278245,-2.2030878190160332,1.1773037172627551e-07,3.158886888005158e-26,0.9870701813175311,0.012929700952097207,2,Elevated Stress
2022-09-23,1.6737190851246342,-2.782058648809051,7.128020722689291e-07,8.022333369351572e-25,0.9857593209528535,0.014239966245074277,2,Elevated Stress
2022-09-30,1.1511844631487944,-2.234313456403659,0.002251343223390991,6.236273762051686e-16,0.9938556673702396,0.0038929894063689284,2,Elevated Stress
2022-10-07,0.5227155036641054,-2.0309996762638245,0.1540381328384353,1.778781458432548e-09,0.8449407692689243,0.0010210961138590064,2,Elevated Stress
2022-10-14,-0.02091929606912931,-2.0903127342246597,0.31941394450136285,1.908309957904276e-06,0.6797587197868556,0.0008254274018236543,2,Elevated Stress
2022-10-21,0.6824893725561636,-2.0400343735122015,0.24189177824780692,6.413688525187853e-11,0.7574601342796129,0.0006480874084431648,2,Elevated Stress
2022-10-28,0.08430747469719892,-0.7798577353382009,0.24413204230761118,9.324529979862853e-05,0.7555117908796501,0.0002629215129400747,2,Elevated Stress
2022-11-04,0.6523706937384054,-1.2978624387238211,0.09145179857370514,5.4913298295257895e-09,0.908039535289972,0.0005086606449930526,2,Elevated Stress
2022-11-11,1.7681253179891254,1.215743036004279,7.597553518164689e-05,4.0377250887282694e-13,0.9963337459192817,0.0035902785451329853,2,Elevated Stress
2022-11-18,0.6062626084348512,2.0736571303779097,0.00012257581111025468,6.596521964924094e-05,0.9942384027433865,0.005573056225853978,2,Elevated Stress
2022-11-25,1.0277438558807495,1.907772537790753,6.598912881362714e-05,5.075128743240614e-07,0.9877141431882324,0.012219360170079735,2,Elevated Stress
2022-12-02,0.46881946973738836,3.3621458366226293,3.469105057927032e-06,0.00010189705945616088,0.9663081442433517,0.03358648959213425,2,Elevated Stress
2022-12-09,1.0237045567108602,1.4393024030682815,0.00027882422705988673,2.414041421431837e-07,0.9935383172095408,0.006182617159257226,2,Elevated Stress
2022-12-16,0.8454260871067547,1.4105130085621775,0.007620987836159372,0.00021781767362928173,0.99065380047226,0.0015073940179513978,2,Elevated Stress
2022-12-23,-0.38272778178295114,0.20581368020434165,0.15545438446127383,0.622776861415995,0.2216843712410904,8.43828816409714e-05,1,Calm
2022-12-30,-0.7931555684630253,-1.1684724016931136,0.21956957028761687,0.7500998309064129,0.030305283354763304,2.5315451206978695e-05,1,Calm
2023-01-06,-0.3388081859235465,0.4461185301765902,0.06670039204518016,0.906958223111242,0.02633514902446028,6.235819117607002e-06,1,Calm
2023-01-13,-0.27062070366791374,1.234942700378624,0.006821467949661663,0.9536948954643492,0.03946981780954933,1.3818776439897684e-05,1,Calm
2023-01-20,-0.5162136918819066,1.8224357693329594,0.0008846648513885061,0.9301738274157134,0.06888879576822465,5.271196467328301e-05,1,Calm
2023-01-27,0.13433877884474063,2.1075859779979873,0.029295187341053477,0.8271274708225013,0.14353271266733497,4.462916911033438e-05,1,Calm
2023-02-03,-0.28031904572958777,0.11676756643336449,0.5416277158115974,0.41011307136260267,0.048258237759241394,9.750665584525125e-07,0,Deep Calm
2023-02-10,-0.31566511228350586,-1.34371154548252,0.9909300443624063,0.004588717672563564,0.00448103128205825,2.0668297195267752e-07,0,Deep Calm
2023-02-17,-0.7395868076733064,-1.591978261788348,0.9969013849256064,0.0018035143376937545,0.0012946938595791281,4.0687712058490514e-07,0,Deep Calm
