,returns,returns,returns,returns,returns,returns,turnover,turnover,turnover,turnover,turnover,turnover,growth,growth,growth,growth,growth,growth,drawdown,drawdown,drawdown,drawdown,drawdown,drawdown
,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility
2011-03-11,-0.002733372456426299,-0.003235835264501526,-0.005643095182789035,-0.007699401786256827,-0.0020000884102794577,-0.003235835264501526,0.0,0.0,0.0,0.0,0.0,0.0,1.089357941128294,1.1182236585339542,1.1918302889405725,1.2199048067209532,1.1100387143335484,1.1182236585339542,-0.008589301869409094,-0.003404979694045962,-0.008767631470400161,-0.013074165264311266,-0.003200366862609827,-0.003404979694045962
2011-03-18,-0.005356490108073021,-0.0009043689824044148,0.0020508849454767965,0.005883882514104004,0.001269877564713068,-0.0009043689824044148,0.0,0.0,0.6804746602962632,1.183502903013796,0.0,0.0,1.0835228060924895,1.1172123717417852,1.194274595737724,1.2270825832820902,1.1114483275928435,1.1172123717417852,-0.013899783466983395,-0.004306269318429479,-0.006734727928313422,-0.007267209602592417,-0.0019345533719744568,-0.004306269318429479
2011-03-25,0.012849433159192038,0.008135332280059443,0.004484661410034179,-1.7922606844373514e-05,0.005881970732490533,0.008135332280059443,0.0,0.0,0.0,0.0,0.0,0.0,1.097445459965835,1.126301265613298,1.1996305129302134,1.2270605907633845,1.1179858341264204,1.126301265613298,-0.0012289546463778445,0.0,-0.0022802694927263056,-0.007285001962096138,0.0,0.0
2011-04-01,0.008412242906846272,0.0022118889770528574,0.002948146548417549,-0.001675547235913611,0.001475540844557523,0.0022118889770528574,0.0,0.0,0.0,0.0,0.0,0.0,1.1066774377520832,1.1287925189675487,1.203167199486285,1.2250045927822324,1.1196354678883105,1.1287925189675487,0.0,0.0,0.0,-0.008948342833108525,0.0,0.0
2011-04-08,-0.009800134379544028,0.005920003497215583,-0.0007049996254268243,0.001911995943806529,0.0047508682523160605,0.005920003497215583,0.0,0.0,0.6959226092606036,1.2,0.0,0.0,1.0958318501473032,1.1354749746274673,1.2023189670613212,1.2273467965947764,1.124954708486868,1.1354749746274673,-0.009800134379544079,0.0,-0.0007049996254268054,-0.007053456084502696,0.0,0.0
2011-04-15,0.008763291668979212,0.007470011493238516,0.0033752705800996915,-0.00021386862632701278,0.009142047809836504,0.007470011493238516,0.0,0.0,0.0,0.0,0.0,0.0,1.1054349442703013,1.143956985738219,1.2063771188987393,1.2270843056213618,1.1352390982157556,1.143956985738219,-0.0011227241465278093,0.0,0.0,-0.007265816197866037,0.0,0.0
2011-04-22,0.007462596772744561,0.007724723787309809,0.009160761084646203,0.010306724256748013,0.006972213051219646,0.007724723787309809,0.0,0.0,0.0,0.0,0.0,0.0,1.113684359517892,1.15279373747761,1.2174284514629545,1.2397315251991843,1.1431542270725905,1.15279373747761,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-29,0.01741703926741706,0.019294408403436016,0.018298727168022975,0.018349573585485085,0.018587495547716826,0.019294408403436016,0.0,0.0,0.0,0.0,0.0,0.0,1.1330814437391235,1.1750362106534264,1.239705842542864,1.2624800700470724,1.164402601178656,1.1750362106534264,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-06,-0.0046221070676766935,-0.014662353429750658,-0.012232445653260938,-0.015069280948935584,-0.01272276816987877,-0.014662353429750658,0.0,0.0,0.0,0.0,0.0,0.0,1.1278442199897636,1.157807414440071,1.2245412081979283,1.2434554031791012,1.149588176827456,1.157807414440071,-0.0046221070676766285,-0.01466235342975064,-0.012232445653260982,-0.01506928094893556,-0.012722768169878718,-0.01466235342975064
2011-05-13,0.0011082256114587825,0.002567544165059686,0.0012265102675678762,0.0009555533891774332,0.002873069437888107,0.002567544165059686,0.0,0.0,0.0,0.0,0.0,0.0,1.129094125840092,1.1607801361112793,1.226043120562843,1.2446435912039,1.1528910234844565,1.1607801361112793,-0.0035190037936492224,-0.012132455504685669,-0.011020938605884267,-0.014128127062241314,-0.009886252128384898,-0.012132455504685669
2011-05-20,-0.000835734336308508,0.0038750863812250336,0.0006383904461976196,0.0004961232711599151,0.004032494459984517,0.0038750863812250336,0.0,0.0,0.0,0.0,0.0,0.0,1.1281505031102033,1.1652782594083209,1.2268258147776365,1.2452610878537964,1.1575400501496236,1.1652782594083209,-0.004351797177657657,-0.008304383436557483,-0.010389583821600934,-0.013639013083694862,-0.005893623925337987,-0.008304383436557483
