Date,LSI,IRI,regime,regime_name
2013-04-26,0.013694723959512163,-0.6797407867383874,0,Deep Calm
2013-05-03,-0.41014792165780606,-1.2729382765091226,0,Deep Calm
2013-05-10,-0.5562207336729856,-0.9037968744781567,0,Deep Calm
2013-05-17,-1.0052104773230928,-1.24979964125112,0,Deep Calm
2013-05-24,-0.8450785020939091,-1.8330496254135469,0,Deep Calm
2013-05-31,-0.40625938224014296,-2.218986556747941,0,Deep Calm
2013-06-07,-0.40495525306053337,-1.9973642521152237,0,Deep Calm
2013-06-14,-0.4952104578677779,-0.412925297095906,0,Deep Calm
2013-06-21,0.05861456532121343,-2.842637001621305,0,Deep Calm
2013-06-28,-0.3656876308705955,-2.6956661589092534,0,Deep Calm
2013-07-05,-0.3035282513514003,-3.239435126597398,0,Deep Calm
2013-07-12,-0.006890563135429947,-2.2233046823118787,0,Deep Calm
2013-07-19,-1.2780924461694267,0.518866969192226,1,Calm
2013-07-26,-1.2367139148893347,1.110260489941921,1,Calm
2013-08-02,-0.8284205178772464,1.3251346985604646,1,Calm
2013-08-09,-0.5720944996124387,0.08864470718930474,1,Calm
2013-08-16,0.04160861437792043,-0.4189734751714776,0,Deep Calm
2013-08-23,-0.6393658950115062,-0.0507315931183853,0,Deep Calm
2013-08-30,-0.17480083967278,0.7381140242355112,0,Deep Calm
2013-09-06,-0.20972349420267555,-0.03441320442743139,0,Deep Calm
2013-09-13,-0.22079279833619334,-0.6032432932514638,0,Deep Calm
2013-09-20,-0.6905588629683965,-0.6968484990495254,0,Deep Calm
2013-09-27,-0.9011969904638287,-0.5921112228863217,1,Calm
2013-10-04,-1.1024451555343793,-0.4247581295418488,1,Calm
2013-10-11,-0.993541442733253,-0.3166219025474887,1,Calm
2013-10-18,-0.12454878425859868,0.16811670782075333,1,Calm
2013-10-25,-0.8544676520420281,0.5736398796416001,1,Calm
2013-11-01,-1.1064096145071858,0.20976586590504498,1,Calm
2013-11-08,-1.0201418082039213,-0.05749201179301642,1,Calm
2013-11-15,-0.7833708585860492,-0.7711100041068345,1,Calm
2013-11-22,-1.3490189728963695,-2.0807116222830166,1,Calm
2013-11-29,-1.400025627517286,-1.0339147036138432,1,Calm
2013-12-06,-1.1776369523213734,-0.9628869488686315,1,Calm
2013-12-13,-0.6503439876813687,-0.998810095614557,0,Deep Calm
2013-12-20,-0.22360707333120944,-0.6123142355094607,0,Deep Calm
2013-12-27,-0.25521403441999846,-1.0734805778151002,0,Deep Calm
2014-01-03,-0.6637414733116869,0.03006542042361791,1,Calm
2014-01-10,-0.749390608310677,0.3166515266002334,1,Calm
2014-01-17,-0.8692657740279863,0.8827446772606614,1,Calm
2014-01-24,0.35366059649477355,1.4375472428440577,1,Calm
2014-01-31,-0.37610970212450306,0.8842149371822869,1,Calm
2014-02-07,-0.34771616789823945,0.4090632562152727,1,Calm
2014-02-14,0.34760736133128484,0.83159137549325,1,Calm
2014-02-21,-1.0462408259211047,0.6324394885751903,1,Calm
2014-02-28,-0.6930337263220617,1.1074026574864515,1,Calm
2014-03-07,-0.7141651549711713,0.7371908763102561,1,Calm
2014-03-14,-0.00070220757287998,0.8817794795474484,1,Calm
2014-03-21,-0.42730028594669345,0.24727260994891803,1,Calm
2014-03-28,-0.7742916891817792,-0.38189141758190026,1,Calm
2014-04-04,-0.7055137355524258,-0.09171687104414931,1,Calm
2014-04-11,0.14111947203345585,-0.5830454581020772,0,Deep Calm
2014-04-18,0.3847613295349587,-0.35586254191427086,0,Deep Calm
2014-04-25,-0.4341337782660728,0.3078311544459581,1,Calm
2014-05-02,0.02489248125601043,0.40096746404683875,1,Calm
2014-05-09,-0.9666853776786875,-0.3076980472646874,1,Calm
2014-05-16,-1.097461347869642,0.4630105234672372,1,Calm
2014-05-23,-0.7563297316410035,0.03321783851574762,1,Calm
2014-05-30,-0.8454583259417547,-0.386882104412895,1,Calm
2014-06-06,-0.7571320462437628,-0.5152699539611202,1,Calm
2014-06-13,-0.9576718095470169,-0.4269662710946139,1,Calm
2014-06-20,-0.8360479749399746,0.11750255804231326,1,Calm
2014-06-27,-0.9292670959492487,0.6462519779550154,1,Calm
2014-07-04,-0.6341383855919384,0.6138508277318674,1,Calm
2014-07-11,-0.5778548676724455,0.8110622453733503,1,Calm
2014-07-18,-0.5562408549601413,0.10670174380473423,1,Calm
2014-07-25,-0.7925976088600415,0.040774341098364135,1,Calm
2014-08-01,0.5735465301094397,-0.2581612226617851,0,Deep Calm
2014-08-08,-0.4355328396361367,-0.29641077929562815,0,Deep Calm
2014-08-15,-0.19619648097607936,0.25839638204814847,0,Deep Calm
2014-08-22,-0.009591758981956806,-0.23538872738395236,0,Deep Calm
2014-08-29,-1.0049948914826006,0.7130248082499104,1,Calm
2014-09-05,-1.1194267309085832,-0.6081540510536803,1,Calm
2014-09-12,-0.7560756065552777,-1.7547321062249617,0,Deep Calm
2014-09-19,-0.9078465523307063,-1.3526610617313253,0,Deep Calm
2014-09-26,-0.6284453478127707,-1.6839967207939466,0,Deep Calm
2014-10-03,-0.6978863895225681,-0.9320975758068386,0,Deep Calm
2014-10-10,0.8585720724554339,0.394344107359119,2,Elevated Stress
2014-10-17,-0.07737387705542996,0.8761896472135988,2,Elevated Stress
2014-10-24,1.262753937330926,0.5697449698296602,2,Elevated Stress
2014-10-31,0.7924041924207929,-0.20347410126144638,2,Elevated Stress
2014-11-07,-0.5186170708870873,-0.6696825724051603,0,Deep Calm
2014-11-14,-0.6793059951163433,-0.9383231182573163,0,Deep Calm
2014-11-21,-0.5047723416864308,-0.5590379652742271,0,Deep Calm
2014-11-28,-0.8170402292580974,0.13215028110031893,1,Calm
2014-12-05,-0.7442295713730354,0.0954013644843768,1,Calm
2014-12-12,1.52800009835534,0.6201220349427747,2,Elevated Stress
2014-12-19,1.0172839313442574,0.3297166478633729,2,Elevated Stress
2014-12-26,0.41769935163424216,0.37777996097171024,2,Elevated Stress
2015-01-02,0.5155534520101779,0.619669396821287,2,Elevated Stress
2015-01-09,-0.6690769038077671,0.8090043519293655,2,Elevated Stress
2015-01-16,0.08626933112564816,1.7635821461520766,2,Elevated Stress
2015-01-23,0.30614434166510857,2.4127737603872514,2,Elevated Stress
2015-01-30,0.7843144149770312,2.4042203367063606,2,Elevated Stress
2015-02-06,0.6029754131267682,0.036737497812532195,2,Elevated Stress
2015-02-13,-0.21917031162487907,-1.162715096482257,0,Deep Calm
2015-02-20,-0.8818112052649438,-2.109029204732547,0,Deep Calm
2015-02-27,-1.4555022691630795,-1.8619927952463022,0,Deep Calm
